;title;author;pub_house;price;link
130;Незнакомка, или Не читайте древний фолиант;Рэй Анна;Альфа-книга;98;/books/656873/
131;Мельница на Флоссе;Элиот Джордж;Иностранка;855;/books/948191/
132;Приключения Оливера Твиста;Диккенс Чарльз;Речь;1126;/books/635811/
133;Птицы. Не позже полуночи и другие истории;Дюморье Дафна;Иностранка;1057;/books/936368/
134;Викинг. Гнев Севера;Мазин Александр Владимирович;Феникс;916;/books/945135/
135;Двадцать тысяч лье под водой;Верн Жюль;Альфа-книга;269;/books/333542/
136;Братья Карамазовы. В 2-х книгах.;Достоевский Федор Михайлович;Речь;2663;/books/620392/
137;Царство Страха;Манискалко Керри;АСТ;941;/books/945076/
138;Полное собрание произведений о Шерлоке Холмсе в одном томе;Дойл Артур Конан;Альфа-книга;979;/books/149372/
139;Неведение отца Брауна;Честертон Гилберт Кит;Издательский дом Мещерякова;248;/books/609524/
140;Брокен-Харбор;Френч Тана;Фантом Пресс;1147;/books/943224/
141;Сочинские рассказы;Волкодав Юлия;Т8;893;/books/940434/
142;Таинственный остров;Верн Жюль;Альфа-книга;293;/books/375454/
143;И в горе, и в радости;Мэйсон Мег;Inspiria;614;/books/927069/
144;Чужое имя. Тайна королевского приюта для детей;Коуэн Джастин;Бомбора;504;/books/938729/
145;Евгений Онегин;Пушкин Александр Сергеевич;Речь;1431;/books/669673/
146;Высшая школа библиотекарей. Том 1;Завойчинская Милена Валерьевна;Эксмо;1097;/books/935880/
147;Арианна и дары забытых богов;Рэй Анна;Альфа-книга;94;/books/627382/
148;Жизнь на общем языке;Алюшина Татьяна Александровна;Эксмо;469;/books/944392/
149;Большие надежды;Диккенс Чарльз;Время;158;/books/575179/
150;Повесть о жизни;Паустовский Константин Георгиевич;Азбука;1302;/books/914162/
151;Сердце Солнечного воина;Тань Сью Линн;Манн, Иванов и Фербер;692;/books/931768/
152;Анна Каренина;Толстой Лев Николаевич;Речь;2092;/books/588501/
153;Карты. Нечисть. Безумие. Рассказы русских писателей;Гоголь, Лермонтов, Брюсов;Эксмо;710;/books/930963/
154;Приключения Оливера Твиста;Диккенс Чарльз;Лабиринт;1440;/books/849541/
155;Медвежий угол;Бакман Фредрик;Синдбад;665;/books/673048/
